Malaysia & Singapore,New,Order,Family,Full Location,Date,ID,Location,Rarity,Fam,Freq,Features,Key,Category 1,Category 2,Photo,SGroup
Crested Partridge,Yes,GALLIFORMES,"Pheasants, Grouse, and Allies",MY-TemanNegara-Aug-155,2026-08-10,360,Mutiara,I-155,,1,,1,Mutiara only,Infrequent,,Groundbirds
Malayan Crested Fireback,Yes,GALLIFORMES,"Pheasants, Grouse, and Allies",MY-TemanNegara-Aug-034,2026-08-10,443,Mutiara,C-034,,1,Test,1,Mutiara only,,,Groundbirds
Great Argus,Yes,GALLIFORMES,"Pheasants, Grouse, and Allies",MY-TemanNegara-Aug-047,2026-08-10,447,Mutiara,C-047,,1,,1,Mutiara only,,,Groundbirds
Sabah Partridge,Yes,GALLIFORMES,"Pheasants, Grouse, and Allies",MY-SepilokRDC-Aug-086,2026-08-10,453,Sepilok,C-086,,1,,1,Sepilok only,,,Groundbirds
Malayan Peacock-Pheasant,Yes,GALLIFORMES,"Pheasants, Grouse, and Allies",MY-TemanNegara-Aug-121,2026-08-10,460,Mutiara,I-121,,1,,1,Mutiara only,Infrequent,,Groundbirds
Red Junglefowl,No,GALLIFORMES,"Pheasants, Grouse, and Allies",SG-PalauUbin-Aug-014,2026-08-10,470,S-PUbin,C-014,,4,,1,,,Yes,Groundbirds
Red Junglefowl,No,GALLIFORMES,"Pheasants, Grouse, and Allies",SG-SungeiBuloh-Aug-020,2026-08-10,470,S-SBuloh,C-020,,4,,2,,,Yes,Groundbirds
Red Junglefowl,No,GALLIFORMES,"Pheasants, Grouse, and Allies",MY-KL-FRIM-Aug-031,2026-08-17,470,FRIM,C-031,,4,,3,,,Yes,Groundbirds
Red Junglefowl,No,GALLIFORMES,"Pheasants, Grouse, and Allies",MY-TemanNegara-Aug-088,2026-08-10,470,Mutiara,I-088,,4,,4,,,Yes,Groundbirds
Rock Pigeon,No,COLUMBIFORMES,Pigeons and Doves,MY-KL-FRIM-Aug-011,2026-08-17,545,FRIM,C-011,,4,,1,,,Yes,Groundbirds
Rock Pigeon,No,COLUMBIFORMES,Pigeons and Doves,SG-PalauUbin-Aug-026,2026-08-10,545,S-PUbin,C-026,,4,,2,,,Yes,Groundbirds
Rock Pigeon,No,COLUMBIFORMES,Pigeons and Doves,SG-SungeiBuloh-Aug-039,2026-08-10,545,S-SBuloh,C-039,,4,,3,,,Yes,Groundbirds
Rock Pigeon,No,COLUMBIFORMES,Pigeons and Doves,MY-SepilokRDC-Aug-150,2026-08-10,545,Sepilok,I-150,,4,,4,,,Yes,Groundbirds
Red Collared-Dove,No,COLUMBIFORMES,Pigeons and Doves,SG-PalauUbin-Aug-073,2026-08-10,617,S-PUbin,I-073,,2,,1,Sing only,Infrequent,Yes,Groundbirds
Red Collared-Dove,No,COLUMBIFORMES,Pigeons and Doves,SG-SungeiBuloh-Aug-106,2026-08-10,617,S-SBuloh,I-106,,2,,2,Sing only,Infrequent,Yes,Groundbirds
Spotted Dove,No,COLUMBIFORMES,Pigeons and Doves,SG-PalauUbin-Aug-004,2026-08-10,618,S-PUbin,C-004,,5,,1,Widespread,,Yes,Groundbirds
Spotted Dove,No,COLUMBIFORMES,Pigeons and Doves,SG-SungeiBuloh-Aug-005,2026-08-10,618,S-SBuloh,C-005,,5,,2,Widespread,,Yes,Groundbirds
Spotted Dove,No,COLUMBIFORMES,Pigeons and Doves,MY-KL-FRIM-Aug-007,2026-08-17,618,FRIM,C-007,,5,,3,Widespread,,Yes,Groundbirds
Spotted Dove,No,COLUMBIFORMES,Pigeons and Doves,MY-TemanNegara-Aug-040,2026-08-10,618,Mutiara,C-040,,5,,4,Widespread,,Yes,Groundbirds
