Category,Name,Scientific name,Observed,Site,Obs Count
Lizards,Common Water Monitor,Varanus salvator,No,Sepilok,40
Lizards,Common Water Monitor,Varanus salvator,No,S-PUbin,30
Lizards,Common Water Monitor,Varanus salvator,No,S-SBuloh,500
Lizards,Common Water Monitor,Varanus salvator,No,S-MalRes,89
Lizards,Common Water Monitor,Varanus salvator,No,Mutiara,5
Lizards,Common Water Monitor,Varanus salvator,No,Perdana,25
Dragonflies,Common Parasol,Neurothemis fluctuans,No,Sepilok,35
Dragonflies,Common Parasol,Neurothemis fluctuans,No,S-PUbin,16
Dragonflies,Common Parasol,Neurothemis fluctuans,No,S-SBuloh,90
Dragonflies,Common Parasol,Neurothemis fluctuans,No,S-MalRes,421
Dragonflies,Common Parasol,Neurothemis fluctuans,No,Mutiara,4
Dragonflies,Common Parasol,Neurothemis fluctuans,No,Perdana,39
Mammals,Plantain Squirrel,Callosciurus notatus,No,Sepilok,25
Mammals,Plantain Squirrel,Callosciurus notatus,No,S-SBuloh,155
Mammals,Plantain Squirrel,Callosciurus notatus,No,S-MalRes,105
Mammals,Plantain Squirrel,Callosciurus notatus,No,Mutiara,11
Mammals,Plantain Squirrel,Callosciurus notatus,No,Perdana,31
Lizards,Clouded Monitor,Varanus nebulosus,No,S-PUbin,21
Lizards,Clouded Monitor,Varanus nebulosus,No,S-SBuloh,6
Lizards,Clouded Monitor,Varanus nebulosus,No,S-MalRes,167
Lizards,Clouded Monitor,Varanus nebulosus,No,Mutiara,54
Lizards,Clouded Monitor,Varanus nebulosus,No,Perdana,38
Mammals,Lesser Short-nosed Fruit Bat,Cynopterus brachyotis,No,Sepilok,8
Mammals,Lesser Short-nosed Fruit Bat,Cynopterus brachyotis,No,S-SBuloh,242
Lizards,Common Sun Skink,Eutropis multifasciata,No,Sepilok,11
Lizards,Common Sun Skink,Eutropis multifasciata,No,S-PUbin,4
Lizards,Common Sun Skink,Eutropis multifasciata,No,S-SBuloh,49
Lizards,Common Sun Skink,Eutropis multifasciata,No,S-MalRes,148
Lizards,Common Sun Skink,Eutropis multifasciata,No,Mutiara,9
Lizards,Common Sun Skink,Eutropis multifasciata,No,Perdana,15
Dragonflies,Oriental Blue Dasher,Brachydiplax chalybea,No,Sepilok,11
Dragonflies,Oriental Blue Dasher,Brachydiplax chalybea,No,S-PUbin,8
Dragonflies,Oriental Blue Dasher,Brachydiplax chalybea,No,S-SBuloh,136
Dragonflies,Oriental Blue Dasher,Brachydiplax chalybea,No,S-MalRes,70
Dragonflies,Oriental Blue Dasher,Brachydiplax chalybea,No,Perdana,4
Butterflies,Malay Viscount,Tanaecia pelea,No,S-PUbin,36
Butterflies,Malay Viscount,Tanaecia pelea,No,S-MalRes,157
Butterflies,Malay Viscount,Tanaecia pelea,No,Mutiara,12
Butterflies,Malay Viscount,Tanaecia pelea,No,Perdana,3
Dragonflies,Grenadier,Agrionoptera insignis,No,Sepilok,5
Dragonflies,Grenadier,Agrionoptera insignis,No,S-PUbin,27
Dragonflies,Grenadier,Agrionoptera insignis,No,S-SBuloh,28
Dragonflies,Grenadier,Agrionoptera insignis,No,S-MalRes,141
Snakes,Oriental Whipsnake,Ahaetulla prasina,No,Sepilok,3
Snakes,Oriental Whipsnake,Ahaetulla prasina,No,S-PUbin,36
Snakes,Oriental Whipsnake,Ahaetulla prasina,No,S-SBuloh,117
Snakes,Oriental Whipsnake,Ahaetulla prasina,No,S-MalRes,41
Butterflies,Brown Pansy,Junonia hedonia,No,Sepilok,18
Butterflies,Brown Pansy,Junonia hedonia,No,S-PUbin,27
Butterflies,Brown Pansy,Junonia hedonia,No,S-SBuloh,22
Butterflies,Brown Pansy,Junonia hedonia,No,S-MalRes,105
Butterflies,Brown Pansy,Junonia hedonia,No,Perdana,17
Lizards,Indian Garden Lizard,Calotes versicolor,Yes,S-PUbin,28
Lizards,Indian Garden Lizard,Calotes versicolor,Yes,S-SBuloh,99
Lizards,Indian Garden Lizard,Calotes versicolor,Yes,S-MalRes,52
Lizards,Indian Garden Lizard,Calotes versicolor,Yes,Perdana,3
Dragonflies,Scarlet Skimmer,Crocothemis servilia,Yes,S-PUbin,3
Dragonflies,Scarlet Skimmer,Crocothemis servilia,Yes,S-SBuloh,61
Dragonflies,Scarlet Skimmer,Crocothemis servilia,Yes,S-MalRes,116
Butterflies,Malay Cruiser,Vindula dejone,No,S-MalRes,160
Butterflies,Malay Cruiser,Vindula dejone,No,Mutiara,11
Butterflies,Branded Imperial,Eooxylides tharis,No,S-MalRes,169
Dragonflies,Crimson Marsh Glider,Trithemis aurora,Yes,S-PUbin,7
Dragonflies,Crimson Marsh Glider,Trithemis aurora,Yes,S-MalRes,137
Dragonflies,Crimson Marsh Glider,Trithemis aurora,Yes,Perdana,23
Damselflies,Orange-tailed Marsh Dart,Ceriagrion cerinorubellum,No,Sepilok,8
Damselflies,Orange-tailed Marsh Dart,Ceriagrion cerinorubellum,No,S-PUbin,11
Damselflies,Orange-tailed Marsh Dart,Ceriagrion cerinorubellum,No,S-SBuloh,11
Damselflies,Orange-tailed Marsh Dart,Ceriagrion cerinorubellum,No,S-MalRes,131
Dragonflies,Brown-backed Red Marsh Hawk,Orthetrum chrysis,No,Sepilok,3
Dragonflies,Brown-backed Red Marsh Hawk,Orthetrum chrysis,No,S-PUbin,6
Dragonflies,Brown-backed Red Marsh Hawk,Orthetrum chrysis,No,S-SBuloh,16
Dragonflies,Brown-backed Red Marsh Hawk,Orthetrum chrysis,No,S-MalRes,122
Dragonflies,Brown-backed Red Marsh Hawk,Orthetrum chrysis,No,Mutiara,7
Dragonflies,Treehugger,Tyriobapta torrida,No,Sepilok,18
Dragonflies,Treehugger,Tyriobapta torrida,No,S-MalRes,126
Dragonflies,Treehugger,Tyriobapta torrida,No,Mutiara,3
Dragonflies,Treehugger,Tyriobapta torrida,No,Perdana,3
Lizards,Green Crested Lizard,Bronchocela cristatella,No,Sepilok,37
Lizards,Green Crested Lizard,Bronchocela cristatella,No,S-PUbin,20
Lizards,Green Crested Lizard,Bronchocela cristatella,No,S-SBuloh,35
Lizards,Green Crested Lizard,Bronchocela cristatella,No,S-MalRes,57
Dragonflies,Rufous Marsh Glider,Rhodothemis rufa,No,Sepilok,9
Dragonflies,Rufous Marsh Glider,Rhodothemis rufa,No,S-SBuloh,35
Dragonflies,Rufous Marsh Glider,Rhodothemis rufa,No,S-MalRes,99
Dragonflies,Rufous Marsh Glider,Rhodothemis rufa,No,Perdana,4
Dragonflies,Orange Skimmer,Orthetrum testaceum,No,Sepilok,17
Dragonflies,Orange Skimmer,Orthetrum testaceum,No,S-PUbin,4
Dragonflies,Orange Skimmer,Orthetrum testaceum,No,S-SBuloh,20
Dragonflies,Orange Skimmer,Orthetrum testaceum,No,S-MalRes,85
Dragonflies,Orange Skimmer,Orthetrum testaceum,No,Mutiara,8
Dragonflies,Orange Skimmer,Orthetrum testaceum,No,Perdana,9
Dragonflies,Common Picture Wing,Rhyothemis variegata,Yes,Sepilok,4
Dragonflies,Common Picture Wing,Rhyothemis variegata,Yes,S-PUbin,14
Dragonflies,Common Picture Wing,Rhyothemis variegata,Yes,S-SBuloh,87
Dragonflies,Common Picture Wing,Rhyothemis variegata,Yes,S-MalRes,33
Dragonflies,Common Picture Wing,Rhyothemis variegata,Yes,Perdana,4
Damselflies,Pseudagrion siamense,Pseudagrion siamense,No,Sepilok,4
Butterflies,Short Banded Sailer,Phaedyma columella,No,S-PUbin,28
